Country Name,Country Code,Region,IncomeGroup,Year,Production
Afghanistan,AFG,South Asia,Low income,2000,51.39
Angola,AGO,Sub-Saharan Africa,Lower middle income,2000,26.27
Albania,ALB,Europe & Central Asia,Upper middle income,2000,51.88
United Arab Emirates,ARE,Middle East & North Africa,High income,2000,355.97
Argentina,ARG,Latin America & Caribbean,Upper middle income,2000,60.46
Armenia,ARM,Europe & Central Asia,Upper middle income,2000,40.8
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2000,99.39
Australia,AUS,East Asia & Pacific,High income,2000,87.65
Austria,AUT,Europe & Central Asia,High income,2000,100.96
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2000,59.32
Burundi,BDI,Sub-Saharan Africa,Low income,2000,80.61
Belgium,BEL,Europe & Central Asia,High income,2000,96.95
Benin,BEN,Sub-Saharan Africa,Lower middle income,2000,57.49
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2000,39.64
Bangladesh,BGD,South Asia,Lower middle income,2000,62.89
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2000,67.67
Bahrain,BHR,Middle East & North Africa,High income,2000,94.41
"Bahamas, The",BHS,Latin America & Caribbean,High income,2000,60.85
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2000,68.0
Belarus,BLR,Europe & Central Asia,Upper middle income,2000,81.82
Belize,BLZ,Latin America & Caribbean,Upper middle income,2000,104.83
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2000,55.79
Brazil,BRA,Latin America & Caribbean,Upper middle income,2000,54.08
Barbados,BRB,Latin America & Caribbean,High income,2000,243.83
Brunei Darussalam,BRN,East Asia & Pacific,High income,2000,83.94
Bhutan,BTN,South Asia,Lower middle income,2000,59.46
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2000,66.93
Central African Republic,CAF,Sub-Saharan Africa,Low income,2000,89.91
Canada,CAN,North America,High income,2000,68.92
Switzerland,CHE,Europe & Central Asia,High income,2000,122.28
Chile,CHL,Latin America & Caribbean,High income,2000,70.14
China,CHN,East Asia & Pacific,Upper middle income,2000,63.21
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2000,71.76
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2000,42.91
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2000,48.09
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2000,63.4
Colombia,COL,Latin America & Caribbean,Upper middle income,2000,73.15
Comoros,COM,Sub-Saharan Africa,Lower middle income,2000,85.22
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2000,99.9
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2000,70.88
Cuba,CUB,Latin America & Caribbean,Upper middle income,2000,125.11
Cyprus,CYP,Europe & Central Asia,High income,2000,176.58
Czechia,CZE,Europe & Central Asia,High income,2000,92.26
Germany,DEU,Europe & Central Asia,High income,2000,101.29
Djibouti,DJI,Middle East & North Africa,Lower middle income,2000,73.62
Dominica,DMA,Latin America & Caribbean,Upper middle income,2000,107.57
Denmark,DNK,Europe & Central Asia,High income,2000,91.72
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2000,51.43
Algeria,DZA,Middle East & North Africa,Lower middle income,2000,30.95
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2000,70.58
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2000,73.51
Eritrea,ERI,Sub-Saharan Africa,Low income,2000,76.04
Spain,ESP,Europe & Central Asia,High income,2000,95.12
Estonia,EST,Europe & Central Asia,High income,2000,73.83
Ethiopia,ETH,Sub-Saharan Africa,Low income,2000,36.45
Finland,FIN,Europe & Central Asia,High income,2000,108.7
Fiji,FJI,East Asia & Pacific,Upper middle income,2000,161.64
France,FRA,Europe & Central Asia,High income,2000,102.84
Faroe Islands,FRO,Europe & Central Asia,High income,2000,95.89
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2000,92.04
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2000,72.96
United Kingdom,GBR,Europe & Central Asia,High income,2000,98.79
Georgia,GEO,Europe & Central Asia,Upper middle income,2000,133.91
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2000,51.49
Guinea,GIN,Sub-Saharan Africa,Low income,2000,59.95
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2000,114.41
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2000,61.72
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2000,77.1
Greece,GRC,Europe & Central Asia,High income,2000,114.94
Grenada,GRD,Latin America & Caribbean,Upper middle income,2000,117.54
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2000,50.32
Guyana,GUY,Latin America & Caribbean,Upper middle income,2000,71.58
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2000,111.7
Honduras,HND,Latin America & Caribbean,Lower middle income,2000,60.67
